Date,Wake,Sleep
2020-10-11,8:31 AM,11:59 PM
2020-10-12,5:28 AM,9:32 PM
2020-10-13,7:12 AM,9:39 PM
2020-10-14,5:26 AM,11:30 PM
2020-10-15,7:15 AM,10:31 PM
2020-10-16,5:25 AM,12:15 AM
2020-10-17,5:50 AM,12:15 AM
2020-10-18,9:30 AM,12:59 AM
2020-10-19,5:30 AM,10:55 PM
2020-10-20,6:30 AM,12:29 AM
2020-10-21,5:25 AM,11:42 PM
2020-10-22,7:30 AM,10:30 PM
2020-10-23,5:35 AM,10:41 PM
2020-10-24,5:50 AM,12:30 AM
2020-10-25,9:30 AM,11:30 PM
2020-10-26,5:25 AM,12:09 AM
2020-10-27,7:30 AM,11:15 PM
2020-10-28,5:20 AM,11:35 PM
2020-10-29,7:45 AM,12:25 AM
2020-10-30,5:20 AM,1:35 AM
2020-10-31,8:45 AM,11:55 PM
2020-11-01,6:49 AM,9:55 PM
2020-11-02,7:15 AM,10:05 PM
2020-11-03,7:09 AM,11:37 PM
2020-11-04,5:15 AM,11:05 PM
2020-11-05,7:13 AM,11:08 PM
2020-11-06,5:15 AM,12:00 AM
2020-11-07,5:50 AM,11:59 PM
2020-11-08,7:25 AM,11:20 PM
2020-11-09,5:15 AM,11:20 PM
2020-11-10,7:21 AM,11:55 PM
2020-11-11,5:20 AM,10:10 PM
2020-11-12,6:50 AM,11:05 PM
2020-11-13,5:15 AM,10:48 PM
2020-11-14,5:50 AM,10:45 PM
2020-11-15,7:22 AM,11:49 PM
2020-11-16,5:15 AM,10:49 PM
2020-11-17,7:02 AM,11:58 PM
2020-11-18,5:25 AM,11:48 PM
2020-11-19,7:53 AM,10:49 PM
2020-11-20,5:15 AM,12:15 AM
2020-11-21,5:25 AM,10:10 PM
2020-11-22,7:02 AM,11:08 PM
2020-11-23,7:18,11:55 PM
2020-11-24,8:01 AM,11:00 PM
2020-11-25,7:35 AM,12:00 AM
2020-11-26,8:30 AM,12:20 AM
2020-11-27,7:30 AM,11:30 PM
2020-11-28,8:15 AM,11:45 PM
2020-11-29,8:30 AM,11:45 PM
2020-11-30,7:30,11:45 PM
2020-12-01,7:50 AM,11:45 PM
2020-12-02,5:25 AM,11:15 PM
2020-12-03,7:23 AM,11:10 PM
2020-12-04,7:15 AM,11:40 PM
2020-12-05,5:55 AM,1:40 AM
2020-12-06,8:40 AM,11:15 PM
2020-12-07,5:25 AM,12:20 AM
2020-12-08,7:53 AM,12:00 AM
2020-12-09,5:15 AM,9:55 PM
2020-12-10,7:44 AM,12:20 AM
2020-12-11,5:15 AM,1:45 AM
2020-12-12,5:45 AM,1:55 AM
2020-12-13,7:30 AM,10:58 PM
2020-12-14,5:25,11:55 PM
2020-12-15,7:35 AM,12:30 AM
2020-12-16,7:48 AM,11:20 PM
2020-12-17,7:45 AM,12:55 AM
2020-12-18,7:30 AM,1:30 AM
2020-12-19,5:50 AM,12:15 AM
2020-12-20,8:20 AM,1:04 AM
2020-12-21,7:24 AM,11:45 PM
2020-12-22,7:20 AM,1:20 AM
2020-12-23,7:25 AM,11:40 PM
2020-12-24,7:15 AM,12:45 AM
2020-12-25,6:30 AM,12:40 AM
2020-12-26,8:57 AM,12:35 AM
2020-12-27,8:58 AM,12:50 AM
2020-12-28,7:30 AM,12:05 AM
2020-12-29,7:35 AM,10:55 PM
2020-12-30,7:45 AM,10:50 PM
2020-12-31,7:40 AM,12:45 AM
